Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
PP4_0,POGO_C4_CH0_IP,PogoPin_MillMax_0906,9,18.7,0,Top
PP4_1,POGO_C4_CH0_IN,PogoPin_MillMax_0906,9,19.97,0,Top
PP4_2,POGO_C4_CH0_VP,PogoPin_MillMax_0906,9,21.240000000000002,0,Top
PP4_3,POGO_C4_CH0_VN,PogoPin_MillMax_0906,9,22.51,0,Top
PP4_4,POGO_C4_CH1_IP,PogoPin_MillMax_0906,9,23.78,0,Top
PP4_5,POGO_C4_CH1_IN,PogoPin_MillMax_0906,9,25.05,0,Top
PP4_6,POGO_C4_CH1_VP,PogoPin_MillMax_0906,9,26.32,0,Top
PP4_7,POGO_C4_CH1_VN,PogoPin_MillMax_0906,9,27.59,0,Top
PP4_8,POGO_C4_CH2_IP,PogoPin_MillMax_0906,9,28.86,0,Top
PP4_9,POGO_C4_CH2_IN,PogoPin_MillMax_0906,9,30.13,0,Top
PP4_10,POGO_C4_CH2_VP,PogoPin_MillMax_0906,9,31.4,0,Top
PP4_11,POGO_C4_CH2_VN,PogoPin_MillMax_0906,9,32.67,0,Top
PP4_12,POGO_C4_CH3_IP,PogoPin_MillMax_0906,9,33.94,0,Top
PP4_13,POGO_C4_CH3_IN,PogoPin_MillMax_0906,9,35.21,0,Top
PP4_14,POGO_C4_CH3_VP,PogoPin_MillMax_0906,9,36.480000000000004,0,Top
PP4_15,POGO_C4_CH3_VN,PogoPin_MillMax_0906,10.5,6,0,Top
PP4_16,POGO_C4_RTD_FP,PogoPin_MillMax_0906,10.5,7.27,0,Top
PP4_17,POGO_C4_RTD_FN,PogoPin_MillMax_0906,10.5,8.54,0,Top
PP4_18,POGO_C4_RTD_SP,PogoPin_MillMax_0906,10.5,9.81,0,Top
PP4_19,POGO_C4_RTD_SN,PogoPin_MillMax_0906,10.5,11.08,0,Top
PP5_0,POGO_C5_CH0_IP,PogoPin_MillMax_0906,10.5,12.35,0,Top
PP5_1,POGO_C5_CH0_IN,PogoPin_MillMax_0906,10.5,13.620000000000001,0,Top
PP5_2,POGO_C5_CH0_VP,PogoPin_MillMax_0906,10.5,14.89,0,Top
PP5_3,POGO_C5_CH0_VN,PogoPin_MillMax_0906,10.5,16.16,0,Top
